iter	RMSE
0	14.10823523
1	13.23088178
2	12.38200711
3	11.730711
4	11.02384548
5	10.43570079
6	9.954802564
7	9.520489385
8	9.092711666
9	8.684894301
10	8.309156733
11	7.979528362
12	7.687990861
13	7.42357145
14	7.213366672
15	7.030552059
16	6.854829124
17	6.663308149
18	6.538344434
19	6.39679858
20	6.262808764
21	6.163336108
22	6.078569657
23	5.984629299
24	5.896191095
25	5.830700599
26	5.750045958
27	5.691484908
28	5.620679584
29	5.560797041
30	5.508379756
31	5.442660013
32	5.405120718
33	5.36588722
34	5.332812169
35	5.299170752
36	5.269622986
37	5.24768283
38	5.218640787
39	5.19389074
40	5.170843427
41	5.154653239
42	5.138094231
43	5.123405665
44	5.112297262
45	5.088031146
46	5.067358772
47	5.053354357
48	5.035428785
49	5.021440798
50	5.009253823
51	4.998861135
52	4.981486453
53	4.972389608
54	4.958723036
55	4.938635047
56	4.926087022
57	4.917234066
58	4.909618921
59	4.90276774
60	4.889955089
61	4.882427833
62	4.877372064
63	4.87063216
64	4.862433567
65	4.852597723
66	4.82649765
67	4.812153328
68	4.795609366
69	4.78811861
70	4.782891349
71	4.778621209
72	4.769936942
73	4.763712922
74	4.747169161
75	4.741943617
76	4.729931851
77	4.720483962
78	4.711164858
79	4.705203414
80	4.697210246
81	4.685360511
82	4.681996597
83	4.67400081
84	4.664307748
85	4.657854075
86	4.635547149
87	4.627121794
88	4.621815858
89	4.619855952
90	4.613134832
91	4.604216543
92	4.596170222
93	4.589980117
94	4.587476434
95	4.578570052
96	4.568315227
97	4.563603828
98	4.539007813
99	4.529541275
