iter	Passed	Remaining
0	1	151
1	2	112
2	3	98
3	3	86
4	4	80
5	4	76
6	5	72
7	6	70
8	6	68
9	7	67
10	8	65
11	8	63
12	9	62
13	9	61
14	10	60
15	11	58
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	50
24	16	49
25	16	48
26	17	47
27	18	46
28	18	45
29	19	44
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	63	0
