iter	Passed	Remaining
0	47	47514
1	47	23877
2	48	15982
3	48	12037
4	48	9667
5	48	8086
6	49	6960
7	49	6112
8	49	5454
9	49	4929
10	50	4500
11	50	4143
12	50	3839
13	50	3579
14	51	3355
15	51	3157
16	51	2983
17	51	2828
18	52	2689
19	52	2564
20	52	2452
21	52	2350
22	53	2257
23	53	2170
24	53	2091
25	53	2018
26	54	1951
27	54	1888
28	54	1829
29	54	1774
30	55	1723
31	55	1675
32	55	1630
33	55	1588
34	56	1548
35	56	1510
36	56	1474
37	56	1441
38	57	1409
39	57	1379
40	57	1350
41	57	1322
42	58	1296
43	58	1271
44	58	1246
45	59	1223
46	59	1201
47	59	1179
48	59	1159
49	59	1139
50	60	1120
51	60	1102
52	60	1084
53	60	1067
54	61	1050
55	61	1034
56	61	1019
57	61	1004
58	62	990
59	62	976
60	62	963
61	62	950
62	63	937
63	63	924
64	63	913
65	63	901
66	63	890
67	64	879
68	64	874
69	65	864
70	65	854
71	65	845
72	65	835
73	66	826
74	66	817
75	66	809
76	66	800
77	67	792
78	67	784
79	67	776
80	67	769
81	68	761
82	68	753
83	68	746
84	68	739
85	68	732
86	69	726
87	69	720
88	69	713
89	70	707
90	70	705
91	70	699
92	71	695
93	71	691
94	72	688
95	72	683
96	72	678
97	73	673
98	73	667
99	73	662
100	74	659
101	74	656
102	74	651
103	75	646
104	75	642
105	75	637
106	75	633
107	76	628
108	76	624
109	76	620
110	77	616
111	77	613
112	77	609
113	77	605
114	78	602
115	78	598
116	78	594
117	79	590
118	79	587
119	79	584
120	79	580
121	80	577
122	80	573
123	80	570
124	81	567
125	81	564
126	81	560
127	81	557
128	82	554
129	82	551
130	82	548
131	82	545
132	83	542
133	83	540
134	83	537
135	84	534
136	84	531
137	84	528
138	84	526
139	85	523
140	85	521
141	85	517
142	86	515
143	86	513
144	86	511
145	86	508
146	87	506
147	87	504
148	87	501
149	88	499
150	88	496
151	88	494
152	88	492
153	89	489
154	89	487
155	89	485
156	90	483
157	90	481
158	90	478
159	90	476
160	90	474
161	91	471
162	91	469
163	91	468
164	92	465
165	92	464
166	92	462
167	92	460
168	93	458
169	93	456
170	93	454
171	93	452
172	94	450
173	94	448
174	94	446
175	95	444
176	95	443
177	95	441
178	95	439
179	96	437
180	96	435
181	96	434
182	96	432
183	97	430
184	97	428
185	97	427
186	97	425
187	98	424
188	98	422
189	98	420
190	98	419
191	99	417
192	99	416
193	99	414
194	100	413
195	100	412
196	100	410
197	101	410
198	101	409
199	101	407
200	102	406
201	102	404
202	102	403
203	103	402
204	103	400
205	103	399
206	103	397
207	104	396
208	104	395
209	104	393
210	104	392
211	105	390
212	105	389
213	105	388
214	105	386
215	106	385
216	106	384
217	106	382
218	107	381
219	107	380
220	107	379
221	107	377
222	108	376
223	108	375
224	108	374
225	108	372
226	109	371
227	109	370
228	109	369
229	109	368
230	110	366
231	110	365
232	110	364
233	111	363
234	111	362
235	111	361
236	111	360
237	112	358
238	112	357
239	112	356
240	112	355
241	113	354
242	113	353
243	113	352
244	113	350
245	114	349
246	114	348
247	114	347
248	114	346
249	115	345
250	115	344
251	115	343
252	115	342
253	116	341
254	116	340
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	333
262	118	332
263	118	331
264	119	330
265	119	329
266	119	328
267	119	327
268	120	326
269	120	325
270	120	324
271	121	323
272	121	322
273	121	322
274	121	321
275	122	320
276	122	319
277	122	318
278	122	317
279	123	317
280	123	316
281	123	315
282	124	314
283	124	313
284	124	312
285	124	312
286	125	311
287	125	310
288	125	309
289	126	308
290	126	307
291	126	306
292	126	306
293	127	305
294	127	304
295	127	303
296	127	302
297	128	303
298	129	302
299	129	301
300	129	300
301	129	300
302	130	299
303	130	298
304	130	297
305	130	296
306	131	296
307	131	295
308	131	294
309	132	294
310	132	293
311	132	292
312	132	291
313	133	291
314	133	290
315	133	289
316	134	288
317	134	287
318	134	287
319	134	286
320	135	285
321	135	284
322	135	284
323	135	283
324	136	282
325	136	282
326	136	281
327	136	280
328	137	279
329	137	279
330	137	278
331	138	277
332	138	276
333	138	276
334	138	275
335	139	274
336	139	274
337	139	273
338	139	272
339	140	272
340	140	271
341	140	270
342	140	270
343	141	269
344	141	268
345	141	267
346	142	267
347	142	266
348	142	265
349	142	265
350	143	264
351	143	263
352	143	263
353	143	262
354	144	261
355	144	261
356	144	260
357	144	259
358	145	259
359	145	258
360	145	257
361	145	257
362	146	256
363	146	255
364	146	255
365	147	254
366	147	254
367	147	253
368	147	252
369	148	252
370	148	251
371	148	250
372	148	250
373	149	249
374	149	249
375	149	248
376	149	247
377	150	247
378	150	246
379	150	246
380	151	245
381	151	244
382	151	244
383	151	243
384	152	243
385	152	242
386	152	241
387	152	241
388	153	240
389	153	240
390	153	239
391	154	238
392	154	238
393	154	237
394	154	237
395	155	236
396	155	236
397	155	235
398	155	234
399	156	234
400	156	233
401	156	233
402	157	232
403	157	232
404	157	231
405	157	230
406	158	230
407	158	229
408	158	229
409	158	228
410	159	228
411	159	227
412	159	227
413	159	226
414	160	225
415	160	225
416	160	224
417	161	224
418	161	223
419	161	223
420	161	222
421	162	222
422	162	221
423	162	221
424	163	220
425	163	220
426	163	219
427	164	219
428	164	218
429	164	218
430	164	217
431	165	217
432	165	216
433	165	216
434	165	215
435	166	214
436	166	214
437	166	213
438	166	213
439	167	212
440	167	212
441	167	211
442	168	211
443	168	210
444	168	210
445	168	209
446	169	209
447	169	208
448	169	208
449	169	207
450	170	207
451	170	206
452	170	205
453	170	205
454	171	204
455	171	204
456	171	203
457	171	203
458	172	202
459	172	202
460	172	201
461	172	201
462	173	200
463	173	200
464	173	199
465	173	199
466	174	198
467	174	198
468	174	197
469	175	197
470	175	196
471	175	196
472	175	195
473	176	195
474	176	194
475	176	194
476	176	193
477	177	193
478	177	192
479	177	192
480	177	191
481	178	191
482	178	191
483	178	190
484	178	190
485	179	189
486	179	189
487	179	188
488	180	188
489	180	187
490	180	187
491	180	186
492	181	186
493	181	185
